Title,PageRank Score
LIBSVM: A library for support vector machines,0.0008480384707288259
The Pascal Visual Object Classes (VOC) Challenge,0.0002749087888891752
Object Detection with Discriminatively Trained Part-Based Models,0.00022282482210795576
Community detection in graphs,0.00016004045235655222
Fast and Scalable Local Kernel Machines,0.00014621507554935277
"What is Twitter, a social network or a news media?",0.00014266793359857892
Reducibility Among Combinatorial Problems,0.00013087514763233352
Talking about tactile experiences,0.00011012532582371318
ImageNet Classification with Deep Convolutional Neural Networks,0.0001025815265502078
KEGG for representation and analysis of molecular networks involving diseases and drugs.,9.980343076156599e-05
